DESIGNATION            ,M?,2MASS_NUMBER,RA_h,RA_m,RA_s,DEC_d, DEC_'," DEC_""",DIST,+/-0,SPEC,V,r,R, I,I,J,H,Ks,K,W1,W2,W3,Teff,RAD,MASS,a,PER,DISC,STAT ,PM?,x,y,z
WISEP J102557.72+030755.7  ,,                   ,10,25,57.7,3,7,56,13,  ? ,T8.5,     ,     ,     ,     ,     ,17.93,18.36,     ,      ,17.89,14.1,12.19,    ,    ,    ,      ,          ,2013,      ,,5.183313196,0.158364541,11.92091376
WISEP J130141.62-030212.9  ,,                   ,13,1,41.6,-3,2,13,13,  ? ,T8.5,     ,     ,     ,     ,     ,18,18.39,     ,      ,18.06,14.95,12.24,    ,    ,    ,      ,          ,2013,      ,,6.416396157,0.055995041,11.30604816
2MASS J13243559+6358284 A  ,x,J13243559+6358284  ,13,24,35.6,63,58,28,13,1,L9  ,     ,     ,     ,     ,     ,15.6,14.58,14.06,      ,13.15,12.28,10.79,    ,    ,    ,      ,          ,2007,      ,,5.089370717,1.316200761,11.88974017
WISEPA J181210.85+272144.3 ,,                   ,18,12,10.9,27,21,44,13,3,T8.5,     ,     ,     ,     ,     ,18.19,18.83,17.03,      ,17.24,14.18,12.37,620,    ,13,      ,          ,2011,      ,,5.867972801,0.539190955,11.58775942
WISEP J201920.76-114807.5  ,,                   ,20,19,20.8,-11,48,8,13,    ,T8  ,     ,     ,     ,     ,     ,18.09,18.23,14.11,      ,17.29,14.32,12.2,675,    ,    ,      ,          ,2013,      ,,5.40681067,1.149253086,11.7662915
2MASS J23312378-4718274    ,,J23312378-4718274  ,23,31,23.8,-47,18,27,13,2,T5  ,     ,     ,     ,     ,     ,15.66,15.51,15.39,      ,14.79,13.36,11.56,    ,    ,    ,      ,          ,2004,      ,,4.886489818,0.384575089,12.0405282
WISEPA J085716.25+560407.6 ,,                   ,8,57,16.3,56,4,8,12.9,    ,T8  ,     ,     ,     ,     ,     ,17.65,17.49,17.69,      ,17.07,14.03,12.49,675,    ,    ,      ,          ,2011,      ,,3.486331122,0.060854136,12.41981449
ULAS J003402.77-005206.7   ,,                   ,0,34,2.8,0,52,7,12.82,0.59,T8.5,     ,     ,     ,26.37,     ,18.15,18.49,18.48,18.48,17.32,14.47,11.8,575,1.04,17,      ,          ,2007,      ,,4.575755668,1.056396434,11.9289097
2MASSI J0445538-304820     ,,J04455387-3048204  ,4,45,53.9,-30,48,20,12.74,0.8,L2  ,     ,     ,     ,     ,     ,13.39,12.58,11.98,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,3.959365809,0.841589183,12.07984892
WISE J045746.08-020719.2   ,,                   ,4,57,46.1,-2,7,19,12.5,3.1,T2  ,     ,     ,     ,     ,     ,14.9,14.2,14.02,13.98,13.39,12.44,11.02,    ,    ,    ,      ,          ,2013,      ,,3.351090195,0.102385066,12.04199783
WISEP J105130.01-213859.7  ,,                   ,10,51,30,-21,38,60,12.5,    ,T9  ,     ,     ,     ,     ,     ,18.93,19.19,     ,      ,17.17,14.54,12.69,525,    ,    ,      ,          ,2013,      ,,3.630237941,0.607493489,11.94580781
WISEPA J180435.40+311706.1 ,,                   ,18,4,35.6,31,17,6,12.5,1.56,T9.5,     ,     ,     ,     ,     ,18.67,19.21,16.86,      ,18.64,14.71,12.85,583,0.89,28,      ,          ,2011,      ,,6.015209811,0.447007305,10.94839876
2MASS J07464256+2000321 A  ,x,J07464256+2000321  ,7,46,42.2,20,0,32,12.21,0.04,L0.5,19.87,     ,17.4,16.09,15.11,12.28,11.56,10.47,11.05,10.13,9.89,9.38,2205,0.99,74,      ,          ,2000,      ,,3.838737116,0,11.59086698
2MASS J07464256+2000321 B  ,x,J07464256+2000321  ,7,46,42.6,20,0,32,12.21,0.04,L1.5,     ,     ,     ,     ,     ,12.79,12,     ,11.41,     ,     ,     ,2060,0.97,63,2.897,12.71,2000,      ,,3.83839995,0,11.59097864
2MASSI J0251148-035245     ,,J02511490-0352459  ,2,51,14.9,-3,52,46,12.1,1.1,L3  ,     ,     ,     ,     ,     ,13.06,12.25,11.66,      ,     ,     ,     ,2100,0.45,    ,      ,          ,2003,      ,,3.483986475,0.804341655,11.55962252
WISEPA J165311.05+444423.9 ,,                   ,16,53,11.1,44,44,24,12.1,    ,T8  ,     ,     ,     ,     ,     ,17.59,17.53,     ,      ,16.58,13.82,12.24,675,    ,    ,      ,          ,2011,      ,,3.41392346,0.663599497,11.58942459
2MASSW J2306292-050227     ,,J23062928-0502285  ,23,6,29.3,-5,2,29,12.1,1.2,L4  ,     ,     ,16.4,     ,13.97,11.35,10.72,10.3,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,5.750731137,0.05018587,10.64596509
2MASS J01443536-0716142    ,,J01443536-0716142  ,1,44,35.4,-7,16,14,12,1,L5  ,     ,     ,     ,     ,     ,14.19,13.01,12.27,      ,11.63,11.36,10.81,1600,0.55,    ,      ,          ,2002,      ,,3.868150042,0.270487401,11.35624286
2MASS J07171626+5705430    ,,J07171626+5705430  ,7,17,16.2,57,5,44,12,1,L3  ,     ,     ,     ,     ,     ,14.64,13.59,12.95,      ,12.3,11.94,11.34,2100,    ,    ,      ,          ,2000,      ,,5.199368549,0.113450625,10.8145132
WISEPA J075108.79-763449.6 ,,                   ,7,51,8.8,-76,34,50,12,    ,T9  ,     ,     ,     ,     ,     ,19.34,19.02,     ,      ,17.13,14.47,11.84,525,    ,    ,      ,          ,2011,      ,,3.512157673,0.524895481,11.46251426
SDSS J123147.38+084730.7   ,,J12314753+0847331  ,12,31,47.5,8,47,33,12,1,T5.5,     ,     ,     ,22.75,     ,15.57,15.31,15.22,      ,15.02,13.02,11.68,1070,0.83,57,      ,          ,2000,      ,,4.410982924,0.917485768,11.12211533
2MASSW J1551066+645704     ,,J15510662+6457047  ,15,51,6.6,64,57,5,12,    ,L3  ,     ,     ,19.2,     ,15.3,12.89,12.15,11.72,      ,     ,     ,     ,    ,    ,    ,      ,          ,     , UNCON,,3.443675455,0.87458215,11.46194597
2MASSW J1635191+422305     ,,J16351919+4223053  ,16,35,19.2,42,23,5,12,    ,L3  ,     ,19.87,     ,16.87,16.5,12.88,12.22,11.79,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,4.311831671,0.434178619,11.19015624
2MASS J17312974+2721233    ,,J17312974+2721233  ,17,31,29.8,27,21,23,12,1,L0  ,     ,     ,17.6,     ,14.9,12.09,11.39,10.91,      ,     ,     ,     ,2000,1.34,    ,      ,          ,2002,      ,,4.500743217,0.413560205,11.11630687
WISEP J181243.14+200746.4  ,,                   ,18,12,43.1,20,7,46,12,  ? ,T9  ,     ,     ,     ,     ,     ,18.54,18.95,     ,      ,18.55,15.35,12.89,    ,    ,    ,      ,          ,2013,      ,,5.411821591,0.165346104,10.70910116
2MASS J22551861-5713056 A  ,x,J22551861-5713056  ,22,55,18.6,-57,13,6,12,1,L6  ,     ,     ,     ,     ,     ,14.08,13.19,12.58,      ,     ,     ,     ,    ,    ,79,      ,          ,2002,      ,,3.336986373,0.189487818,11.52512977
2MASS J21265916+7617440 A  ,x,J21265916+7617440 A,21,26,59.2,76,17,44,12,2,L8.5,     ,     ,     ,     ,     ,     ,13.59,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,4.724540272,0.35109399,11.02521892
2MASS J21265916+7617440 B  ,x,J21265916+7617440 B,21,26,59.2,76,17,44,12,2,T4.5,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,1.3,          ,     ,      ,,4.724540272,0.35109399,11.02521892
Wolf 940 B                 ,x,J21464040-0010233  ,21,46,38.8,0,10,39,11.98,0.56,T8.5,     ,     ,     ,     ,     ,18.16,18.77,18.85,18.97,16.72,14.24,     ,605,0.88,35,396,          ,2009,      ,,3.765651072,0.164411876,11.37159799
2MASS J18283572-4849046    ,,J18283572-4849046  ,18,28,35.7,-48,49,5,11.95,1.1,T5.5,     ,     ,     ,     ,     ,15.18,14.91,15.18,      ,14.52,12.71,11.46,    ,    ,    ,      ,          ,2004,      ,,4.535000479,0.984645125,11.01211808
DENIS-P J0624458-452156    ,,J06244595-4521548  ,6,24,46,-45,21,55,11.92,0.64,L5  ,     ,     ,     ,     ,18.32,14.48,13.34,12.6,12.71,11.83,11.48,10.87,    ,    ,    ,      ,          ,2004,      ,,4.791660098,0.440291711,10.9056195
WISEPC J075946.98-490454.0 ,,                   ,7,59,47,-49,4,54,11.9,    ,T8  ,     ,     ,     ,     ,     ,17.38,17.41,     ,      ,17.68,13.81,13.03,675,    ,    ,      ,          ,2011,      ,,3.090341277,0.053942108,11.49160046
ULAS J232123.79+135454.9   ,,                   ,23,21,23.8,13,54,59,11.9,0.57,T7.5,     ,25.7,     ,24.17,     ,16.72,17.15,17.16,17.36,17.19,14.06,12.39,800,    ,    ,      ,          ,2010,      ,,4.826201547,1.158668478,10.81551044
SDSSp J125453.90-012247.4  ,,J12545393-0122474  ,12,54,53.9,-1,22,47,11.78,0.26,T2  ,     ,24.06,     ,     ,19.76,14.89,14.09,13.84,13.88,13.33,12.4,10.89,1200,    ,    ,      ,          ,2000,      ,,3.286203355,0.316425393,11.30792388
Ross 458 C                 ,x,J13004666+1222325  ,13,0,41.9,12,21,15,11.69,0.21,T8  ,     ,     ,     ,23.48,     ,16.69,17.01,16.9,16.46,16.12,13.71,11.65,650,1.24,6,1163,          ,2010,      ,,5.78973436,0.532001852,10.14159998
DENIS-P J0828343-130919    ,,J08283419-1309198  ,8,28,34.2,-13,9,20,11.65,0.02,L2  ,     ,     ,     ,     ,16.06,12.8,11.85,11.3,      ,10.92,10.67,10.13,2300,0.93,77,      ,          ,2002,      ,,4.521843425,0.177663712,10.73516966
2MASS J22551861-5713056 B  ,x,J22551861-5713056  ,22,55,18.6,-57,13,6,11.6,3.1,L8  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,74,1.6,7.5,     ,      ,,3.225753494,0.183171558,11.14095878
WISEPC J234026.62-074507.2 ,,                   ,23,40,26.6,-7,45,7,11.6,    ,T7  ,     ,     ,     ,     ,     ,16.15,16.19,16.3,      ,15.95,13.56,12.37,825,    ,    ,      ,          ,2011,      ,,3.870512557,0.769892816,10.90808863
WISEPA J235941.07-733504.8 ,,J23594034-7335055  ,23,59,41.1,-73,35,5,11.53,0.76,T6.5,     ,     ,     ,     ,     ,16.16,15.91,16.05,      ,15.17,13.27,11.48,930,    ,38,      ,          ,2011,      ,,2.96457864,0.456292294,11.13301266
2MASS J00242463-0158201    ,,J00242463-0158201  ,0,24,24.6,-1,58,20,11.5,0.5,M9.5,     ,     ,     ,     ,     ,11.86,11.12,10.58,      ,     ,     ,     ,    ,    ,    ,      ,          ,2007,      ,,4.510279871,1.166437685,10.51412377
WISEPA J062309.94-045624.6 ,,                   ,6,23,9.9,-4,56,25,11.5,    ,T8  ,     ,     ,     ,     ,     ,17.51,17.31,17.8,      ,17.04,13.78,12.51,675,    ,    ,      ,          ,2011,      ,,4.575639793,1.140835131,10.48866129
WISEPC J232519.54-410534.9 ,,                   ,23,25,19.5,-41,5,35,11.5,    ,T9  ,     ,     ,     ,     ,     ,19.75,19.22,     ,      ,17.5,14.11,12.49,525,    ,    ,      ,          ,2011,      ,,4.615556816,0.100711808,10.53263938
2MASS J12462965-3139280    ,,J12462965-3139280  ,12,46,29.7,-31,39,28,11.45,0.42,T1  ,     ,     ,     ,     ,     ,15.02,14.19,13.97,      ,13.33,12.38,11.41,1400,1,    ,      ,          ,2011,      ,,3.557539633,0.611297111,10.86612753
2MASS J17545447+1649196    ,,J17545447+1649196  ,17,54,54.5,16,49,20,11.42,1.33,T5.5,     ,     ,     ,     ,     ,15.81,15.65,     ,15.56,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,3.127171083,0.678975399,10.96249029
WISEPA J062720.07-111428.8 ,,                   ,6,27,20.1,-11,14,29,11.4,    ,T6  ,     ,     ,     ,     ,     ,15.49,15.44,15.43,      ,14.9,13.23,11.51,975,    ,    ,      ,          ,2011,      ,,4.476399864,0.273788345,10.48078643
WISEPA J195905.66-333833.7 ,,                   ,19,59,5.7,-33,38,34,11.4,    ,T8  ,     ,     ,     ,     ,     ,16.71,17.18,16.23,      ,16.42,13.82,12.29,675,    ,    ,      ,          ,2011,      ,,2.952935644,0.494151955,10.9998175
2MASS J22244381-0158521    ,,J22244381-0158521  ,22,24,43.8,-1,58,52,11.4,0.1,L4.5,     ,     ,20.29,     ,18.02,14.07,12.82,12.02,      ,11.36,11.12,10.65,1600,0.53,    ,      ,          ,2000,      ,,4.456966405,1.152649885,10.42913461
2MASS J07003664+3157266 A  ,x,J07003664+3157266  ,7,0,36.6,31,57,27,11.36,0.18,L3.5,     ,     ,     ,     ,     ,13.17,12.21,11.58,      ,     ,     ,     ,2100,0.84,74,      ,          ,1999,      ,,5.479832575,1.391700182,9.853131764
2MASS J07003664+3157266 B  ,x,J07003664+3157266  ,7,0,36.6,31,57,27,11.36,0.18,L6  ,     ,     ,     ,     ,     ,14.66,13.61,12.97,      ,     ,     ,     ,    ,    ,63,2.1,12,     ,      ,,5.479832575,1.391700182,9.853131764
2MASS J15462718-3325111    ,,J15462718-3325111  ,15,46,27.2,-33,25,11,11.36,0.25,T5.5,     ,     ,     ,     ,20.52,15.63,15.45,15.49,      ,15.24,13.43,12.31,    ,    ,    ,      ,          ,2000,      ,,3.561966809,0.39009881,10.78006565
WISEP J003829.05+275852.1  ,,                   ,0,38,29.1,27,58,52,11.3,    ,T9  ,     ,     ,     ,     ,     ,18.61,18.92,     ,      ,18.04,14.38,12.46,525,    ,    ,      ,          ,2013,      ,,3.809598753,0.985229227,10.59274661
2MASSW J0335020+234235     ,,                   ,3,35,2.1,23,42,36,11.3,    ,L2  ,     ,     ,17.67,     ,15.7,12.25,11.66,11.26,      ,     ,     ,     ,    ,    ,    ,      ,          ,     , UNCON,,4.025387997,0.746061567,10.53231426
LP 213-67 B                ,x,J10471265+4026437  ,10,47,12.7,40,26,44,11.3,0.9,L0  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,75,2.8,15,2003,      ,,3.50615424,0.399475816,10.73486383
WISEP J032547.72+083118.2  ,,                   ,3,25,47.7,8,31,18,11.2,    ,T7  ,     ,     ,     ,     ,     ,16.54,16.15,     ,      ,15.44,13.49,11.66,825,    ,    ,      ,          ,2013,      ,,4.434298358,0.603481521,10.26707398
LHS 2924                   ,,J14284323+3310391  ,14,28,43.2,33,10,39,11.11,0.16,L0  ,19.74,     ,17.8,16.2,14.8,11.99,11.23,10.74,10.72,     ,     ,     ,    ,    ,    ,      ,          ,1984,      ,,4.304771908,0.187950401,10.24039616
L 186-67 B                 ,x,                   ,8,22,48,-57,26,48,11.1,3.3,M   ,     ,     ,     ,     ,     ,10,     ,     ,      ,     ,     ,     ,    ,    ,21,      ,          ,     ,      ,,4.538446843,0.517090702,10.11657637
54 Psc B                   ,x,J00392187+2115024  ,0,39,18.9,21,15,17,11.06,0.04,T7.5,     ,     ,     ,     ,     ,16.31,16.72,16.86,      ,     ,     ,     ,825,    ,65,480,          ,2006,      ,,3.80562362,0.24943375,10.38164783
WISE J003110.04+574936.3   ,,J00310928+5749364  ,0,31,9.3,57,49,36,11,1,L8  ,     ,     ,     ,     ,     ,14.95,13.78,13.22,      ,12.41,11.84,11.3,    ,    ,    ,      ,          ,2013,      ,,4.063569599,0.882287447,10.18376016
2MASS J03400942-6724051    ,,J03400942-6724051  ,3,40,9.4,-67,24,5,11,3,L7  ,     ,     ,     ,     ,     ,14.74,13.59,12.93,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,3.734583586,0.392520552,10.33918822
2MASS J06523073+4710348 A  ,x,J06523073+4710348  ,6,52,30.7,47,10,35,11,1,L3.5,21.4,     ,     ,     ,     ,13.51,12.38,11.69,      ,10.87,10.51,9.86,1600,0.59,79,      ,          ,2003, UNCON,,3.189556954,0.139259064,10.52650623
SDSS J075840.33+324723.4   ,,J07584037+3247245  ,7,58,40.4,32,47,25,11,1,T2  ,     ,     ,     ,21.86,     ,14.95,14.11,13.88,      ,13.11,12.17,10.67,    ,    ,    ,      ,          ,2004,      ,,2.847521638,0.592285353,10.60852575
DENIS-P J1454078-660447    ,,J14540797-6604476  ,14,54,8,-66,4,48,11,2,L3.5,     ,     ,     ,     ,     ,13.06,12.17,11.72,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,3.117557366,0.054417166,10.54883287
SDSSp J162414.37+002915.6  ,,J16241436+0029158  ,16,24,14.4,0,29,16,11,0.15,T6  ,     ,     ,     ,22.95,20.88,15.49,15.52,15.52,15.53,15.08,13.07,12.01,1010,0.8,60,      ,          ,1999,      ,,4.427890809,0.563298858,10.05367979
2MASS J18212815+1414010    ,,J18212815+1414010  ,18,21,28.2,14,14,1,11,  ? ,L4.5,     ,     ,     ,     ,     ,13.43,12.4,11.65,      ,     ,     ,     ,2200,    ,    ,      ,          ,2008,      ,,4.5762097,0.279892976,9.998998185
WISE J185101.83+593508.6   ,,                   ,18,51,1.8,59,35,9,11,1,L9  ,     ,     ,     ,     ,     ,14.94,13.97,13.46,      ,12.65,12.18,11.23,    ,    ,    ,      ,          ,2013,      ,,3.222633915,0.4960108,10.50564629
2MASS J21392676+0220226    ,,J21392676+0220226  ,21,39,26.9,2,20,23,11,0.3,T1.5,     ,     ,     ,21.45,     ,15.26,14.17,13.58,      ,12.75,11.94,10.49,1270,    ,    ,      ,          ,2002,      ,,3.772680899,0.33006681,10.32753285
WISE J030919.70-501614.2   ,,                   ,3,9,19.7,-50,16,14,11,2,T8  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015, UNCON,,5.095365705,0.356302679,9.742191578
HD 13445 B                 ,x,J02102587-5049258  ,2,10,25.9,-50,49,25,10.87,0.12,T   ,     ,     ,     ,     ,     ,14.7,14.4,14.2,13.7,     ,     ,     ,    ,    ,50,20,          ,2001,      ,,4.887170072,1.061108639,9.651244332
G 239-25 B                 ,x,J14422164+6603208  ,14,42,21.8,66,3,20,10.8,0.18,L0  ,     ,     ,     ,     ,     ,11.51,10.83,10.33,      ,     ,     ,     ,    ,    ,75,30,          ,2004,      ,,3.588662474,0.046978165,10.18623064
2MASSI J1217110-0311131 A  ,x,J12171110-0311131  ,12,17,10.3,-3,11,13,10.73,0.24,T7.5,     ,23.92,     ,22.87,21.53,15.86,15.75,15.89,15.92,15.38,13.2,11.59,870,0.95,31,      ,          ,1999,      ,,4.648997221,0.22330735,9.667981106
2MASSI J1217110-0311131 B  ,x,J12171110-0311131  ,12,17,11.1,-3,11,13,10.73,0.24,T7  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,860,0.93,21,2.3,          ,1999,      ,,4.6484354,0.223280364,9.668251869
WISEP J073444.02-715744.0  ,,                   ,7,34,44,-71,57,44,10.7,    ,Y0  ,     ,     ,     ,     ,     ,20.35,21.07,     ,      ,18.75,15.19,13.65,375,    ,    ,      ,          ,2012,      ,,3.770005736,0.957459484,9.967965093
SDSS J082519.45+211550.3   ,,J08251968+2115521  ,8,25,19.7,21,15,52,10.7,0.1,L7.5,22.5,     ,21.75,20.6,19.22,15.1,13.79,13.03,12.93,12.08,11.57,10.39,    ,    ,    ,      ,          ,2000,      ,,4.286157597,0.280929611,9.799996511
2MASS J02431371-2453298    ,,J02431371-2453298  ,2,43,13.7,-24,53,30,10.68,0.41,T6  ,     ,     ,     ,     ,     ,15.38,15.14,15.22,15.24,14.68,12.93,11.29,1070,0.97,34,      ,          ,2002,      ,,3.417582137,0.804733771,10.08637377
WISEP J014656.66+423410.0  ,,                   ,1,46,57.1,42,34,10,10.64,1.58,Y0  ,     ,     ,     ,     ,     ,19.4,20.91,     ,      ,18.99,15.08,13.2,451,0.97,14,      ,          ,2012,      ,,3.297570627,0.492825232,10.10409577
2MASS J22282889-4310262    ,,J22282889-4310262  ,22,28,28.9,-43,10,26,10.64,0.79,T6  ,     ,     ,     ,     ,     ,15.66,15.36,15.3,      ,15.18,13.29,11.63,1110,1.03,27,      ,          ,2003,      ,,4.132848647,0.180444069,9.802887432
WISE J014656.66+423410.0 B ,x,                   ,1,46,56.7,42,34,10,10.64,1.58,Y0  ,     ,     ,     ,     ,     ,22.05,22.69,     ,      ,     ,     ,     ,330,0.92,16,0.93,6,2015,      ,,3.297861313,0.492868676,10.10399877
LSR 0602+3910              ,,J06023045+3910592  ,6,2,30.5,39,10,59,10.6,1,L1  ,20.8,     ,     ,     ,     ,12.3,11.45,10.87,      ,     ,     ,     ,2100,0.53,    ,      ,          ,2002,      ,,5.194265448,0.226786527,9.237325064
SDSS J150108.17+225001.8   ,,J15010818+2250020  ,15,1,8.2,22,50,2,10.59,0.07,M9  ,15.09,     ,     ,     ,     ,11.87,11.18,     ,10.71,     ,     ,     ,    ,    ,    ,      ,          ,2002, UNCON,,5.125016227,1.136188743,9.197357436
2MASSI J1047538+212423     ,,J10475385+2124234  ,10,47,53.9,21,24,23,10.56,0.42,T7  ,     ,     ,     ,23.52,20.89,15.82,15.8,16.41,      ,15.43,12.97,     ,975,    ,    ,      ,          ,1999,      ,,3.249773667,0.341564976,10.04170825
WISEPA J045853.89+643452.9 A,x,                   ,4,58,53.9,64,34,53,10.5,1.4,T8.5,     ,     ,     ,     ,     ,17.5,17.77,     ,      ,16.37,13,12.03,600,    ,15,      ,          ,2011,      ,,2.735935661,0.408888324,10.12904074
WISEPA J045853.89+643452.9 B,x,                   ,4,58,53.9,64,34,53,10.5,1.4,T9.5,     ,     ,     ,     ,     ,18.48,18.79,     ,      ,     ,     ,     ,500,    ,10,5,70,2011,      ,,2.735935661,0.408888324,10.12904074
WISEP J203042.79+074934.7  ,,                   ,20,30,42.8,7,49,35,10.5,2.6,T1.5,     ,     ,     ,21.81,18.9,14.23,13.44,13.32,      ,12.96,12.12,10.96,    ,    ,    ,      ,          ,2013,      ,,3.897161544,0.846156717,9.713194671
WISEP J154214.00+223005.2  ,,                   ,15,42,14.7,22,30,9,10.42,4.45,T9.5,     ,     ,     ,     ,     ,19.94,20.52,     ,      ,18.85,15.04,13.01,477,0.91,19,      ,          ,2013,      ,,3.438098071,0.452634198,9.826037041
2MASS J12373919+6526148    ,,J12373919+6526148  ,12,37,39.2,65,26,15,10.41,0.52,T7  ,     ,     ,     ,     ,21.25,16.05,15.74,16.06,16.15,15.43,12.92,11.94,825,    ,30,      ,          ,1999,      ,,3.636874236,0.414369478,9.745231846
WISEPA J132233.66-234017.1 ,,                   ,13,22,33.7,-23,40,17,10.4,    ,T8  ,     ,     ,     ,     ,     ,17.01,16.61,16.99,      ,17.19,13.88,12.7,675,    ,    ,      ,          ,2011,      ,,4.22443532,0.744881925,9.474138333
2MASS J05591914-1404488    ,,J05591914-1404488  ,5,59,19.1,-14,4,49,10.35,0.11,T5  ,25,     ,     ,21.35,19.14,13.8,13.68,13.58,13.35,13.39,11.9,10.56,1002,1.75,30,      ,          ,2000,      ,,2.708088091,0.047269853,9.98932052
2MASS J05591914-1404488 B  ,x,J05591914-1404488 B,5,59,19.1,-14,4,49,10.35,0.11,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,0.9,          ,2001, UNCON,,2.708088091,0.047269853,9.98932052
ULAS J133553.45+113005.2   ,,                   ,13,35,53.5,11,30,5,10.34,0.34,T8.5,     ,     ,     ,     ,     ,17.9,18.25,18.28,18.28,16.89,13.84,12.21,525,1.23,13,      ,          ,2008,      ,,3.678346887,0.484263555,9.651468955
