    DESIGNATION            |M?|   2MASS NUMBER    |    RA h | RA m | RA s    	|    DEC d | DEC ' | DEC "  |DIST |+/-0|SPEC|V    |  r  |R    |i    |I    |   J |H    |Ks   |K     |   W1|  W2 |W3   |Teff|RAD |MASS|  a   |   PER   | DISC|STAT |PM?
                           |  |                   |    	| DEC d  | DEC '| DEC "| pc  |pc  |    |     |     |     |     |     |     |     |     |      |     |     |     |  K |Rj  |Mj  |  AU  |    yr   | PUBL|     |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
WISE J034909.44+151436.0   |  |                   | 3 |49|  9.4 | +15|14|36|25.20|3.00|L7  |     |     |     |     |     |17.29|16.04|     |14.90 |13.85|13.21|12.07|    |    | 8  |      |          | 2015|      |
2MASS J04070885+1514565    |  |J04070885+1514565  | 4 | 7|  8.9 | +15|14|55|17.00|2.00|T5  |     |     |     |     |     |16.06|16.02|15.92|      |     |     |     |    |    |    |      |          |     |      |P
G 160-54 C                 | x|J04134585-0509049 C| 4 |13| 45.9 | -05| 9| 5|21.00|9.00|M7  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |85  |   70 |          |     | UNCON|
WISE J041743.13+241506.3   |  |                   | 4 |17| 43.1 | +24|15| 6|16.00|3.00|T3.5|     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|P
51 Eridani b               | x|                   | 4 |37| 36.1 | -02|28|25|29.43|0.29|T   |     |     |     |     |     |16.75|16.86|     |      |     |     |     | 675|1.00| 6  |   14 |      41  | 2015|      |
WISE J044130.52+044359.9   |  |                   | 4 |41| 30.5 | +04|43|60|23.90|2.30|T4.5|     |     |     |     |     |16.39|16.46|     |16.38 |15.74|14.40|12.35|    |    |    |      |          | 2015|      |
WISE J044730.40-121616.4   |  |                   | 4 |47| 30.4 | -12|16|16|27.70|2.90|T2  |     |     |     |     |     |16.69|16.07|     |15.66 |14.96|14.24|12.61|    |    | 6  |      |          | 2015|      |
WISE J050650.20+523631.2   |  |                   | 5 | 6| 50.2 | +52|36|31|17.60|1.60|T4.5|     |     |     |     |     |15.44|15.47|     |15.60 |14.94|13.73|12.27|    |    | 7  |      |          | 2015|      |
WISE J053424.45+165255.0   |  |                   | 5 |34| 24.5 | +16|52|55|21.50|3.50|L5.5|     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          |     |      |
2MASSI J0544115-243301     |  |I J0544115-243301  | 5 |44| 11.5 | -24|33| 2|16.40|1.10|M9  |     |     |     |     |     |12.53|     |11.46|      |     |     |     |    |    |    |      |          |     | UNCON|
WISE J054455.54+063940.3   |  |                   | 5 |44| 55.5 | +06|39|40|30.50|6.50|L0.5|     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          |     |      |
WISE J055105.96-123913.5   |  |                   | 5 |51|  6.0 | -12|39|14|25.50|3.10|L8  |     |     |     |     |     |16.52|15.52|     |14.71 |13.87|13.40|11.98|    |    |    |      |          | 2015|      |
2MASS J05591914-1404488 B  | x|J05591914-1404488 B| 5 |59| 19.1 | -14| 4|49|10.35|0.11|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |  0.9 |          | 2001| UNCON|
WISE J060202.67+724235.4   |  |                   | 6 | 2|  2.7 | +72|42|35|27.00|4.00|L8.5|     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
WISEP J061135.13-041024.0 B| x|                   | 6 |11| 35.1 | -04|10|24|21.16|1.44|          |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          |     |      |
WISE |J061213.85-303612.5 B | |                      6 |1 | 13.9 | -30 3  13 31.00 6.00 T6 |     |     |     |     |     |17.89|17.73|18.33|      |     |     |     |    |    |45  |   11 |     128  |     |      |
WISE J061429.77+383337.5   |  |                   | 6 |14| 29.8 | +38|33|38|22.50|4.50|L0.5|     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          |     |      |
2MASS J06272161-5308428    |  |J06272161-5308428  | 6 |27| 21.6 | -53| 8|43|24.10|2.20|L0  |     |     |     |     |     |16.39|     |     |      |     |     |     |1500|1.35| 9  |      |          |     |      |
WISE J064205.58+410155.5 B | x|                   | 6 |42|  5.6 | +41| 1|56|16.10|1.90|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
WISE J065222.24+412736.1   | x|                   | 6 |52| 22.2 | +41|27|36|14.20|1.40|T0  |     |     |     |     |     |15.36|14.51|     |13.95 |13.13|12.44|11.80|    |    |    |      |          | 2013|      |
WISE J065222.24+412736.1 B | x|                   | 6 |52| 22.2 | +41|27|36|14.20|1.40|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
WISE J070159.79+632129.2 B | x|                   | 7 | 1| 59.8 | +63|21|29|16.70|1.70|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
2MASS J07075327-4900503    |  |J07075327-4900503  | 7 | 7| 53.3 | -49| 0|50|18.48|1.54|M9  |21.09|     |18.74|     |16.19|13.23|12.54|12.11|      |11.83|11.56|11.34|2151|1.03|72  |      |          |     |      |
WISE J07200320-0846513 B   | x|J07200325-0846499 B| 7 |20|  3.2 | -08|46|51| 6.20|0.70|T5.5|     |     |     |     |     |     |     |     |      |     |     |     |    |    |65  |  1.4 |     4.5  | 2015|      |
WISE J074838.58+174333.0   |  |J07483864+1743329  | 7 |48| 38.6 | +17|43|33|31.30|3.80|L5  |     |     |     |     |     |16.16|15.26|     |14.50 |13.74|13.32|12.55|    |    |    |      |          | 2009|      |
2MASS J07522390+1612157    |  |J07522390+1612157  | 7 |52| 23.9 | +16|12|16|18.39|0.34|M7  |     |16.13|     |13.76|     |10.88|10.20|9.85 |      |9.61 |9.45 |9.26 |2731|2.01|68  |      |          |     |      |
SDSS J075840.33+324723.4 B | x|                   | 7 |58| 40.3 | +32|47|23|16.00|2.00|T2  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |    1 |          |     |      |
L 186-67 B                 | x|                   | 8 |22| 48.0 | -57|26|48|11.10|3.30|M   |     |     |     |     |     |10.00|     |     |      |     |     |     |    |    |21  |      |          |     |      |
LHS 2021                   |  |                   | 8 |30| 32.6 | +09|47|15|16.72|1.26|M6.5|19.06|17.86|17.16|15.35|14.78|11.89|11.17|10.76|      |10.51|10.33|10.19|2599|1.15|88  |      |          |     | UNCON|
HD 72946 B                 | x|J08355126+0637218 B| 8 |35| 51.3 | +06|37|22|26.24|0.59|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |60  | 6.37 |   15.93  | 2015| UNCON|
WISE J084254.56-061023.7   |  |                   | 8 |42| 54.6 | -06|10|24|24.50|4.50|T2.5|     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
WISE J085039.11-061023.7   |  |                   | 8 |50| 39.1 | -06|10|24|25.50|4.50|L6.5|     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          |     |      |
2MASS J08540240-3051366 B  | x|J08540240-3051366 B| 8 |54|  2.4 | -30|51|37|10.00|4.00|M5  |     |     |     |     |     |12.08|11.43|     |10.99 |     |     |     |    |    |40  |   17 |          |     |      |
WISE J085512.39-023356.8   | x|                   | 8 |55| 12.4 | -02|33|57|23.80|2.40|T0  |     |     |     |     |     |16.00|15.29|     |14.77 |14.17|13.57|12.69|    |    |    |      |          | 2015|      |
WISE J085512.39-023356.8 B | x|                   | 8 |55| 12.4 | -02|33|57|23.80|2.40|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
WISE J090308.17+165935.4   | x|                   | 9 | 3|  8.2 | +16|59|35|29.00|3.00|T0  |     |     |     |     |     |16.40|15.80|     |15.26 |14.53|13.99|12.35|    |    |    |      |          | 2009|      |
WISE J090308.17+165935.4 B | x|                   | 9 | 3|  8.2 | +16|59|35|29.00|3.00|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
ULAS J090521.61+100654.9 A | x|                   | 9 | 5| 21.6 | +10| 6|55|31.20|3.30|T0  |     |23.86|     |23.33|     |17.08|16.39|     |16.07 |15.19|14.33|12.40|    |    |    |      |          | 2015|      |
ULAS J090521.61+100654.9 B | x|                   | 9 | 5| 21.6 | +10| 6|55|31.20|3.30|T2  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
WISE J090611.85-061139.9   | x|                   | 9 | 6| 11.9 | -06|11|40|32.40|5.40|L2  |     |     |     |     |     |14.75|14.19|     |13.70 |13.25|12.82|12.21|    |    |    |      |          | 2015|      |
WISE J090611.85-061139.9 B | x|                   | 9 | 6| 11.9 | -06|11|40|32.40|5.40|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
WISE J093654.63-334620.5   |  |                   | 9 |36| 54.6 | -33|46|21|28.00|6.00|L0  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          |     |      |
2|MASS J09490860-1545485 B  | |J09490860-1545485 B| 9 |4 |  8.6 | -15|45|49|18.08|2.16|T3.5|     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |  1.8 |          |     |      |
WISE J095608.17-144708.2   |  |                   | 9 |56|  8.2 | -14|47| 8|17.70|2.10|L9  |     |     |     |     |     |15.99|15.07|     |14.46 |13.52|12.77|11.14|    |    |    |      |          | 2015|      |
WISE J095645.75-191022.3   | x|                   | 9 |56| 45.8 | -19|10|22|25.80|3.10|L5  |     |     |     |     |     |15.13|14.43|     |13.90 |13.31|12.91|11.87|    |    |    |      |          | 2015|      |
WISE J095645.75-191022.3 B | x|                   | 9 |56| 45.8 | -19|10|22|25.80|3.10|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
HD 87883 b                 | x|                   |10 | 8| 43.0 | +34|14|32|18.10|    |    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |12  |  3.6 |    7.54  | 2009| UNCON|
DENIS J1013-7842           |  |J10132597-7842551  |10 |13| 26.0 | -78|42|55|14.20|1.30|    |     |     |     |     |     |13.84|12.74|12.03|      |     |     |     |1950|    |68  |      |          | 2015|      |
WISE J101944.62-391151.6   |  |                   |10 |19| 44.6 | -39|11|52|23.50|4.50|T4  |     |     |     |     |     |     |19.62|     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
WISE J103657.59-262319.0   | x|                   |10 |36| 57.6 | -26|23|19|25.70|2.70|T1.5|     |     |     |     |     |16.71|16.03|     |15.51 |14.69|13.98|12.88|    |    |    |      |          | 2015|      |P
WISE J103657.59-262319.0 B | x|                   |10 |36| 57.6 | -26|23|19|25.70|2.70|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
WISE J104010.00-211940.9   | x|                   |10 |40| 10.0 | -21|19|41|27.00|2.80|T2  |     |     |     |     |     |16.49|16.01|     |15.55 |15.05|14.18|12.63|    |    |    |      |          | 2015|      |
WISE J104010.00-211940.9 B | x|                   |10 |40| 10.0 | -21|19|41|27.00|2.80|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
SDSS J105213.51+442255.7 B | x|                   |10 |52| 13.5 | +44|22|56|26.04|0.47|T1.5|     |     |     |     |     |16.44|15.87|     |15.50 |     |     |     |1270|    |39  | 1.84 |   8.614  |     |      |
2MASS J10554733+0808427    |  |J10554733+0808427  |10 |55| 47.3 | +08| 8|43|16.60|1.10|M9  |     |     |     |     |     |12.55|     |11.37|      |     |     |     |    |    |    |      |          |     | UNCON|P
WISE J105811.69-583112.4   |  |                   |10 |58| 11.7 | -58|31|12|26.00|4.00|L5.5|     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          |     |      |
2MASS J11061197+2754225 B  | x|J11061197+2754225 B|11 | 6| 12.0 | +27|54|23|20.60|1.10|T4  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |  1.5 |          | 2010|      |
WISE J110827.18+083759.5   |  |                   |11 | 8| 27.2 | +08|37|60|28.80|3.50|L8  |     |     |     |     |     |16.56|15.65|     |14.99 |14.13|13.66|12.62|    |    |    |      |          | 2009|      |
2MASS J11193254-1137466    |  |J11193254-1137466  |11 |19| 32.5 | -11|37|47|25.60|8.60|L7  |     |     |     |     |     |17.23|15.70|14.60|      |     |     |     |    |    | 6  |      |          |     |      |
2MASS J11240434+3808108 B  | x|J11240434+3808108 B|11 |24|  4.3 | +38| 8|11|20.30|1.30|M9.5|     |     |     |17.18|     |     |     |     |      |     |     |     |    |    |81  |  170 |          |     | UNCON|
2MASS J11345493+0022541    |  |J11345493+0022541  |11 |34| 54.9 | +00|22|54|19.00|1.30|M9  |     |     |     |     |     |12.85|     |11.67|      |     |     |     |    |    |    |      |          |     | UNCON|
WISEA J114156.67-332635.5  |  |                   |11 |41| 56.7 | -33|26|36| 9.48|0.39|Y0  |     |     |     |     |     |19.76|     |     |      |     |14.61|     |    |    |    |      |          | 2014|      |
WISE J114316.04-202425.7   |  |                   |11 |43| 16.0 | -20|24|26|30.20|3.20|T2  |     |     |     |     |     |16.74|16.30|     |15.99 |15.67|14.42|12.20|    |    |    |      |          | 2015|      |
2MASS J11582077+0435014 B  | x|J11582077+0435014 B|11 |58| 20.8 | +04|35| 1|28.00|2.00|T2.5|     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |  2.5 |          |     |      |
WISE J120035.41-283657.6   | x|                   |12 | 0| 35.4 | -28|36|58|23.80|2.40|T0  |     |     |     |     |     |15.96|15.15|     |14.75 |14.24|13.56|12.40|    |    |    |      |          | 2015|      |
WISE J120035.41-283657.6 B | x|                   |12 | 0| 35.4 | -28|36|58|23.80|2.40|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
SDSS J120602.51+281328.7 B | x|                   |12 | 6|  2.5 | +28|13|29|29.00|3.00|T5  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |  2.5 |          |     |      |
WISE J122221.95-213948.6   |  |                   |12 |22| 22.0 | -21|39|49|30.50|2.50|L6  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015|      |
WISE J130729.56-055815.4   |  |                   |13 | 7| 29.6 | -05|58|15|28.00|2.00|L8  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015|      |
WISEA J131106.21+012253.9  |  |                   |13 |11|  6.2 | +01|22|54|16.13|3.12|T9  |     |     |     |     |     |18.75|     |     |      |     |14.70|     |    |    |    |      |          | 2011|      |
GJ 504 b                   | x|                   |13 |16| 46.5 | +09|25|27|17.56|0.08|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    | 43.6 |     140  |     | UNCON|
WISE J132839.25-034558.2   |  |                   |13 |28| 39.3 | -03|45|58|24.60|2.20|T4.5|     |     |     |     |     |16.94|16.69|     |16.70 |15.74|14.45|12.82|    |    |    |      |          | 2015|      |
WISE J133300.03-160754.4   |  |                   |13 |33|  0.0 | -16| 7|54|20.50|3.50|T8  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
2MASS J13411160-30525049 B | x|J13411160-30525049 |13 |41| 11.6 | -30|52|50|29.00|3.00|T6  |     |     |     |     |     |     |     |     |      |     |     |     |1027|    |32  |  7.8 |      74  | 2014|      |
WISE J135059.90+292526.7   | x|                   |13 |50| 59.9 | +29|25|27|25.90|2.70|T0  |     |     |     |     |     |17.18|16.41|     |15.50 |14.43|13.76|12.96|    |    |    |      |          | 2015|      |
WISE J135059.90+292526.7 B | x|                   |13 |50| 59.9 | +29|25|27|25.90|2.70|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
2MASS J14283132+5923354 B  | x|J14283132+5923354 B|14 |28| 31.3 | +59|23|35|21.00|3.00|T6.5|     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          |     |      |
WISE J145731.67+472420.1   |  |                   |14 |57| 31.7 | +47|24|20|19.90|1.80|T7  |     |     |     |     |     |17.08|17.43|     |17.09 |16.72|14.62|12.66|    |    |    |      |          | 2015|      |
2MASS J15065441+1321060 B  | x|J15065441+1321060 B|15 | 6| 54.4 | +13|21| 6|14.10|0.50|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |      14  | 2010| UNCON|P
TVLM 868-110639            |  |                   |15 |10| 16.9 | -02|41| 8|16.34|1.25|M9  |     |19.27|     |16.38|     |12.61|11.84|11.35|11.34 |10.94|10.67|10.17|2377|1.08|79  |      |          |     | UNCON|
2MASS J15104786-2818174    |  |J15104786-2818174  |15 |10| 47.9 | -28|18|17|19.00|1.30|M9  |     |     |     |     |     |12.84|     |11.69|      |     |     |     |2600|1.66|37  |      |          |     | UNCON|P
Beta Circini B             | x|                   |15 |17| 21.6 | -58|51|30|30.55|0.18|L1.0|     |     |     |     |     |14.54|13.68|13.21|      |     |     |     |2084|    |59  | 6656 |          |     |      |
ULAS J152502.10+083344.0   | x|                   |15 |25|  2.1 | +08|33|44|32.00|3.30|T2  |     |23.86|     |22.84|     |17.17|16.62|     |16.22 |15.29|14.55|12.70|    |    |    |      |          | 2015|      |
ULAS J152502.10+083344.0 B | x|                   |15 |25|  2.1 | +08|33|44|32.00|3.30|T3  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
2MASS J15594729+4403595 B  | x|J15594729+4403595 B|15 |59| 47.3 | +44| 3|60|27.00|2.00|M7.5|     |     |     |16.80|     |     |     |     |      |     |     |     |    |    |43  |  150 |          |     |      |
